영국, 런던 타워,나에게 전화 해,"나이가 들었지만 내 방문은 완벽하지 못했습니다. 문제는 성의 내용이 아닙니다 (사치스럽고 훌륭하게 표시됨). 1,000 년의 역사를보고 계십시오! 나의 문제는 전시를 통해 만연해있는 통제 할 수없는 초등학생들의 엄청난 양이었다. 학생들의 전체 수업은 모든 것을 짓 밟았습니다. 이것은 Crown Jewels & White Tower 전시회에서 특히 그렇습니다. 소음과 명백한 혼잡과 혼란이 너무 심했습니다. 또한 오디오 장치와 사용자 인터페이스가 간소화되어야한다고 제안합니다. 나는 나이가 얼마나"
영국, 런던 타워,회견,매우 가난한 고객 서비스 장애가있는 사람들을 돕기위한 직원이 없습니다. 돈에 대한 매우 나쁜 가치는 다시 방문하지 않습니다.
영국, 런던 타워,우리가 기대하지 않은 것,"리뷰를 읽었을 때, 우리는 바우처를 받았으며, 개찰구에 있었고 Beefeater 투어를 가야했습니다. 불행히도 우리는 떠나기 전에 리뷰를 읽지 않았습니다! 우리는 오랫동안 런던 타워를 방문하고 싶었으므로 우리는 매우 기대했습니다. 우리는 온라인으로 티켓을 예약했는데 돈을 절약 할뿐만 아니라 타워에 도착할 때 상당한 시간을 절약 할 수 있다고 생각했습니다. 불행히도 이것은 사실이 아닙니다. 집에서 티켓을 인쇄하지 않은 경우 그룹 예약 창으로 이동하여 이메일 바우처를 실제 티켓으로"
영국, 런던 타워,흥미로운 역사적 장소,한여름에가는 것은 뜨겁습니다. 줄이 매우 길어서 30 도의 열기로 1 시간 이상 서 있고 싶지 않기 때문에 Crown Jewels를 보지 못했습니다. Beefeater는 위대하고 매우 재미 있고 지식이 풍부했습니다. 부지와 건물의 상태는 매우 양호했습니다.
영국, 런던 타워,타워에서 새해 전야,"런던 타워 새해 전날 아침에 방문했습니다. 날씨는 춥고 습했으며 바람이 많았습니다. 회장은 너무 많은 사람들이 무거워서 따라갈 흔적이 없었으므로 군중이 한 부분에서 다른 부분으로 표류합니다. Crown Jewels의 대기열은 길이가 1 시간 반이 넘지 않았으며, 대부분 2 시간을 더한 것으로 비가 내리는 것만으로도 재미가 없었기 때문에 우리는 귀찮게하지 않았습니다. 그 매력에 너무 많은 사람들이 너무 많은 시간 대기열에 있었다. 방문자가 따라야 할 경로를 갖도록 일종의 조직이 필요합니다."
영국, 런던 타워,해석 수준에 실망,나는 그것을 말하는 것을 싫어하지만 실망했다. 건물은 물론 경외심을 불러 일으키지 만 내부의 해석은 둔합니다. 우리는 우리 Hisoric Royal Palaces와 똑바로 들어갔습니다. 오디오 투어가 가능한지 보지 못했지만 내부에는 너무 많은 독서가있어 장소의 느낌을 놓쳤습니다. 교도소 지역에서도 책을 읽고 있었기 때문에 많은 사람들이 표지판을 볼 수 없었기 때문에 쉽게 읽을 수 없었습니다. 죄수들에 대한 최고의 해석은 월터 롤리의 지역과 그것이 제공되었던 것을 보는 것입니다. 화이트 타워는
영국, 런던 타워,매우 긴 줄은 타워가 제공하는 대부분의 것을보기 위해 하루를 보낼 것으로 예상됩니다 ...,"긴 줄 때문에 하루를 보낼 것으로 예상됩니다. Crown Jewels는 가장 긴 줄을 가지고 있으며, 겨울에는 거의 2 시간 정도 기다립니다. 따라서 시간이 많이 남는다면 Crown Jewels 외에 타워에서 볼 것이 많습니다."
영국, 런던 타워,흥미롭지 만 피곤,영국의 흥미롭지 만 피의 역사. 피곤하고 접근이 매우 불가능합니다. 유모차는 많이 보았지만 휠체어는 없었습니다
영국, 런던 타워,크라운 주얼리의 끔찍하고 둔한 큐!,여러 가지 방법으로 방문하기에 좋은 곳입니다. 직원들은 훌륭하고 실제로 물건을 알고 있습니다. 가이드는 내 아이들 (3-16 세 범위)의 많은 질문에 대답했으며 엄청나게 매력적이었습니다. 그들은 군비 할인을 정리할 필요가있다 – 우리 이웃 (봉사관)과 가족은 지난 주에 무료로 들어갔다. 우리 (또한 봉사 장교)는 할인 된 가격을 얻었습니다). 그러나 실제로 5 성급 등급을 망친 것은 The Crown Jewels 대기열의 끔찍한 조직이었습니다. 우리는 약 80 분 동안 대기했습니다. 볼만한
영국, 런던 타워,과대 광고에 부응하지 않습니다,Tower is London은 매우 아름답고 Crown Jewells는 정말 훌륭합니다. 나머지 장소는 실제로 특별한 것이 아닙니다. 군용 무기는 많지만 특별히 독특하지는 않았습니다. 오디오 가이드를 받으십시오. 그렇지 않으면 주위의 많은 사람들과 함께 모든 표지판을 읽는 것이 약간의 고통이 될 것입니다.
영국, 런던 타워,Bleeding Heart의 저녁 식사 품질이 좋지 않습니다.,런던의 Bleeding Heart에서 실망스러운 저녁 식사. 오래된 과일 덩어리가 동반 된 치즈 플레이트에 차가운 림프 셀러리의 메인 코스. . .
영국, 런던 타워,정확히 '타워'가 아닙니다,나는 템즈 강을 따라 걷고 있었다. . . 당신은 알고있다. . . 탑. 이것은 실제 타워보다 캐스트 형 구조입니다. 여전히 방문하기에 좋으며 모두 비싸다. 나는 방문의 즐거움에 먹을 수있는 줄이 길 수 있지만 낮에 일찍가는 것이 좋습니다. 아직도 그것을 추천 할 것입니다. 여기의 역사가 많았으며 특히 철조망으로 만든 동물을 좋아했습니다 (타워 내 전시).
영국, 런던 타워,괜찮 았어,"런던 타워 지역은 거대합니다. 감옥 고문실 크라운 주얼리 중세 궁전 기타 날씨가 추우면 옷을 충분히 입으십시오. 나는 매우 추워서 불행히도 나를 위해 경험을 망쳤다! ""멋진""것이 아니기 때문에 모든 사람에게 추천할지 확실하지 않습니다. 일부 배우들은 죄수에 관한 쇼를 열었고, 그 경험을 조금 더 시원하게 만들었다."
영국, 런던 타워,정말 실망스러운,우리는 지금까지이 명소를 방문한 적이 없었습니다. 영국 남부에 살면서 놀랍습니다. 아마도 우리는 타워의 역사를 너무 많이 기대했을지 모르지만 품질과 독창적 인 전시품 (많은 복제품)이 부족한 것 같습니다. 우리는 오디오 투어를 사용하지 않았으며 도움이 될 수 있습니다. 무료 Beefeater 투어도 도움이되었을 지 모르지만 그룹은 엄청났습니다. 목록에서 똑딱 거 렸지만 다시는 생각하지 않습니다.
영국, 런던 타워,윤곽,이것은 흥미롭지 만 선은 끔찍합니다. 티켓 구매 라인. 크라운 보석을보기위한 1 시간 반. 많은 계단. 기다렸다가 기다릴 준비를하십시오. 라인 이외의 다른 이유가 없다면 하루 종일 보낼 것입니다.
영국, 런던 타워,그것이 너무 비싸다,크라운 jewls는 내가 예상했던 것만 큼 인상적이지 않았고 성 내부에는 볼 것이 많지 않습니다. 제안
영국, 런던 타워,Beefeaters에게 마이크를주세요.,나는 Beefeaters 중 한 명이 런던 타워를 여행하는 것이 돈 가치가 있다고 100 % 확신하지만 모든 사람들이 말하는 것을 즐기고 이해할 수 있도록 마이크를 제공하십시오. 그룹이 30 명보다 크면 모든 사람이 가이드를들을 수있는 것은 아닙니다. 그것이 우리 그룹에게 일어난 일입니다. 당신은 이야기의 파편을 얻지 만 스스로 평화롭게해야합니다. 물론 이상적이지 않습니다. 마이크가이 문제를 해결합니다. 여행은 싸지 않다. 그래서 나는 그들이 최소한이 서비스를 제공 할 것을 기대했다. 그
영국, 런던 타워,왕관 보석을위한 멋지지만 매우 긴 대기열.,"나는 온라인으로 그것을 예약했지만 타워에 들어가기 위해 긴 줄이 있었지만 우리가 왕관 보석을 기다리는 데 달려 들었지만 우리는 아이들과 비가 오는 날씨에는 2 시간을 기다려야 할 수도 있습니다. 나는 그들이 다른 많은 곳에서와 같이 시간 제한 출입을 허용하기를 바랍니다. 어쨌든, 우리는 우리의 오디오 가이드 (온라인으로 지불)를 수집했고 우리가 스스로 탐험 할 수있게 해주었다. 까마귀 이야기를 좋아했습니다."
영국, 런던 타워,경험,남편은 BIG BUS TOUR를 통해 이것을 예약했습니다. 우리는 다시 예약하지 않을 것입니다. 그들은 그에게 버스 정류장이었던 티켓을 수집 할 주소를 주었다! ! 누군가를 발견하기 전에 몇 사람에게 물어봐야했습니다. 오후 2시 30 분 이후에는 탑에 투어 가이드가 없었습니다. 질문을하거나 더 많은 정보를 얻을 수 없었기 때문에 약간 엉망이었습니다. 다시 가지 않을 것이다
영국, 런던 타워,방문 할 가치가있는,여기에 무슨 일이 있었는지 역사를 듣고 보는 것은 매우 흥미로운 일입니다. 발에 불쾌한 사람들이 기꺼이 기증 할 수 있도록 몇 가지 단계가 있으므로 30 + 입장료를 절약 할 수 있습니다. 크라운 주얼리가 바쁘기 때문에 바쁜 거리를 찾아보십시오. 우리는 2019 년 11 월 7 일에 전화를했으며 시즌이 지났으므로 들어가기에는 나쁘지 않았습니다. 이 모든 장소와 마찬가지로 코를 통해 음식과 음료를 지불 할 준비를하십시오. 그것은 우리의 견해로는 충분하지 않습니다. 그 다음에 들어가기 위해 요금을
영국, 런던 타워,Beefeater 투어에 실망하지 않았습니다.,우리는 그것이 건조했지만 11 월의 이슬비가 내리는 회색의 날에 방문했다. 그들은 단지 우리를 예배당에 데려 갔던 weather은 날씨 여행을 운영하고 있었다. 나는 아이들이 잘 표현할 때 Beefeater tour (어린 시절처럼)를 경험하기를 정말로 바랐습니다! 그래서 우리는 방금 우리 자신에 의해 터졌습니다. 확인해야 할 몇 가지 좋은 점이 있지만 여전히 전체 가격을 지불하고 있지만 전체 경험을 놓친 것 같습니다. . . 왼쪽 느낌이 실망했다. 그렇지는 않지만 비오는 날에해야 할 일 1
영국, 런던 타워,"""과도한 관광""경험",런던 어딘가에 가서 많은 사람들을 만나고 많은 시간을 낭비하고 발을 아프게하고 싶다면 5 월에서 9 월 사이입니다. 나는 두 번 있었다. 한때 겨울에는 매우 즐거운 경험이었습니다. Beefeater 경비원은 성 전체로 우리를 데려 갔으며 위대한 역사적인 여행을했습니다. 군중은 적었고 훌륭했습니다. 두 번째는 지난 9 월입니다. 완전히 다른 경험. 군중은 너무 커서 Crown Jewels의 45 분 라인이있었습니다. 여러 양보 스탠드에서 물 한 병을 얻는 것을 잊어 버려라. 가드 투어는 매우
영국, 런던 타워,"흥미롭지 만, 그들이 빌어 먹을 난방을 줄이십시오!",아이들을 데리고 가기에 좋은 곳입니다. 내 신음은 그들이 난방을 끌 수 없다는 것입니다. 그것은 봄에 꺼지고 겨울에 켜집니다. 재산이 필요하고 자원의 완전한 허리입니다. 그들은 모범을 보이고보다 지속 가능하기를 바랐다. 이 태도에는 어떤 희망이 있습니까?
영국, 런던 타워,런던 타워,금요일 오후에 런던 타워를 방문했는데 바빴습니다. 티켓 구매와 탑 입장이 매우 쉽다는 것을 알았습니다. 우리는 런던 타워의 대부분의 지역을 방문했지만 방이 너무 바빴 기 때문에 많은 디스플레이를 볼 수 없었습니다. 반기 홀! ! . 인상적이었던 왕관 보석을보기 위해 대기했다. 그러나 우리가 Ikea처럼 둥글게되고있는 것처럼 다시 그것은 느꼈다. 두 시간 후에 내 아이들은 곧 지루 해져 떠나고 싶었습니다. 입장료는 가족에게는 높은 편이지만 운 좋게도 남편은 무료 티켓을 얻었습니다. 내가 지불 할
영국, 런던 타워,정말로 관광객을 위해.,괜찮 았지만 돌아 가지 않았습니다. 우리가 거의 문을 열지 않은 것처럼 느껴졌고 약 10 개의 상점을 지나갔습니다. 그것은 또한 꽤 많이 재건되거나 복원 된 것처럼 보였으므로 '실제로 얼마나 많은지'라고 생각하게되었습니다! 나는 오래된 박하가 흥미 로웠다고 생각했다.
영국, 런던 타워,끔찍한 D C 필립스를 만났습니다.,"나는 2019 년 10 월 30 일 수요일 런던 타워를 방문했다. 기본적으로 매력은 크라운 보석을 보는 것입니다. 나는 쇠고기를 먹는 사람 D C Phillips를 보았고 소년은 부모님의 사진을 쇠고기를 먹는 사람 Phillips와 함께 찍고있었습니다. 나는 그의 어깨에있는 소년을 그의 관심을 끌기 위해 두드렸다. 그리고 그가 그에게 쇠고기를 쓴 필립스와 함께 나를 위해 사진을 찍을 수 있는지 물었다. 나는 쇠고기를 먹는 사람 필립스에 의해 엄숙한 견책을 받았으며, 전 생애에서 이토록 끔찍한"
영국, 런던 타워,돈 가치가 없다,그냥 돈 버는 계획. 그 끝에 많은 계단이 없습니다. 음식과 음료 비싸
영국, 런던 타워,성입니다,"그것은 당신의 전형적인, 밀의 실행, 성입니다. 아주 좋은 직원들과 잘 지 냈습니다. 나는 되돌아 갈 것이라고 생각하지 않지만 한 번 보는 것이 좋습니다."
영국, 런던 타워,역사는 위대하다,런던 타워가 영국 역사의 위대한 작품을 보유하고 있다는 사실을 아무도 부인할 수 없지만 나쁜 점은 티켓 가격이 비싸고 여행 아이디어가 지루하다는 것입니다. 나는 여행을 빠르게 할 수있는 방법이 있다고 느꼈다. 특히 크라운 보석을 보러 갈 곳은 길고 지루하다.
영국, 런던 타워,실망한,왕관 보석을보기 위해 이곳을 예약했습니다. . . 우리는 불행히도 대기열이 거대하다고 생각하지 않았습니다. . . 줄 지어 사람의 양은 충격적이었다! ! 우리는 심지어 주말에 방문하지 않았으므로 이것이 지금까지 여행을 기대하지 않았습니다. 나는 미래에 왕관 보석에 대한 빠른 트랙 / 유료 추가 서비스를 볼 수 있습니다. 큐를 줄이십시오-이것으로 와서는 안됩니다. 26 헤드는 이미 런던 타워를 지불하기 위해 공정한 가격보다 높기 때문에 희망합니다! 많은 역사가 있었지만 대부분은 자료를 읽고 대화
영국, 런던 타워,Touristy 런던 타워,"비는 투어가 없었기 때문에 실망 스러웠지만 대여 할 수있는 오디오가 있습니다. 방문하기는 쉽지만 의회, 셰익스피어 글로브, 보로우 마켓 또는 윈저 성만큼 즐기지는 않았습니다. 보석의 왕관과 화이트 캐슬은 꼭보아야합니다. 기념품을위한 훌륭한 상점들."
영국, 런던 타워,너무 많은 역사!,"이것은 남편이나 내가 생각한 것이 아니라 전혀 볼 수 없었습니다. 그러나, 왕관 보석을 볼 수있는 선은 soooooo 길고 sooooo은 느 렸습니다. 우리는 실망한 사람들을 보지 못했습니다."
영국, 런던 타워,전혀 인상적이지 않은 여인,"Yeoman은 깊은 인상을받지 못했습니다. 그들은 무례한 행동에 자부심을 느낍니다 ( ""행위""의 일부인 것으로 생각됨). Yeoman과 함께 사진을 매우 친절하게 요청한 그는 무례하게 입수했습니다. 그들은 일의 일부로 사진을 많이 요구할 것임을 알고 있습니까? 우리는 Yeoman이 투어에서 그의 게임을 시작했을 때들을 수 없었습니다. 청중은 정중하게 그에게 우리를 대변하도록 요청했지만, 이것은 무시되었습니다. 그래서 우리는 아무것도 듣지 않는 것에 지루해했고, 탐구하기 위해 우리 스스로 갔다."
영국, 런던 타워,많은 시간이 필요합니다.,우리는 일요일에 방문했고 군중은 실제로 약간의 노력을 기울였습니다. 보석을 보려면 일찍 가야하지만 움직이는 벨트를 타야 만 보석을 볼 수 있으며 다시 볼 수 없거나 디스플레이 캐비닛의 다른 쪽을 볼 수는 없습니다. 이 놀라운 타워의 역사를 즐기고 싶다면 며칠 동안 수행해야합니다.
영국, 런던 타워,만나서 반가워,"이 장소는 훌륭하지만 입구 가격 30 때문에 주로 압도적입니다. 50은 정부가 소유 한 곳에서 정말 역겨운 일입니다. 나는 National rail 241 바우처를 사용하여 15였습니다. 각 25, 그리고 그것은 공정한 가격입니다.   2. 콜라 캔에 대한 70도 역겨워하며 이것이 런던에서 볼 수있는 것들의 목록의 상단에 있기 때문에 기본적으로 외국 관광객을 어떻게 피하고 있는지 보여줍니다. 전반적으로 나는 조금 실망했다."
영국, 런던 타워,압도적,"우리는 미리 티켓을 샀다. 그것은 선으로 조금 도움이되었습니다. 타워는 외부에서 인상적입니다. 많은 사진을 찍기 좋은 곳. 그것의 내부는 blah이었다! 크라운 주얼리와 경내는 괜찮습니다! ! 누군가가 런던에 잠시 머무르면 안으로 들어가서 시간을 낭비하지 않는 것이 좋습니다. 그럼에도 불구하고 외부에서 봐야합니다. 우리는 보트를 서쪽 장관, 짧은 타기 및 박동으로 붐비는 지하철과 교통 체증에 갇혔습니다. 보트 타기 티켓은 우리 홉 온 / 오프 투어에 포함되었습니다."
영국, 런던 타워,좋은,서두를 피하기 위해 일찍 도달하십시오. 탑은 매우 커서 각 장소를 방문하는 데 2 시간이 걸릴 수 있습니다. Kohinoor gems 섹션을 놓치지 마세요!
영국, 런던 타워,디즈니 랜드의 탑,모든 것 중에서 이것은 더 나빴습니다. . . 많은 관광객에게. . . 견학에 많은 아이들. . . 긴 줄과 비는 도움이되지 못했습니다. . . 당신이 방문 해야하는 경우 초기에 와서! !
영국, 런던 타워,놀라운 역사,더 잘할 수있었습니다. 최고의 다른 성들과 궁전들을 통합해야합니다. 스털링 캐슬에는 모델이있는 생생한 주방이있어 마치 오래전의 모습을 볼 수있는 것처럼 느껴집니다. 포클랜드 궁전에는 가구가 완비 된 가장 아름다운 침실이 있습니다. 내가 정직하면 아이들도 차려 입을 수 있고 어른도 될 수 있습니다. 기사와 다른 중세 활동을 볼 수 있습니다.
영국, 런던 타워,열심히,"런던에있는 동안 탑을 방문했습니다. 나는 탑이 열심히가는 것을 알았다. 고르지 않은 표면에서 많은 걷기, 크라운 보석을보기 위해 긴 줄. 방문하는 경우 하루 종일 대부분의 시간을 공정하게 사용해야합니다."
영국, 런던 타워,훈련받지 않은 직원과 무기력 한 상업주의.,우리는 성문에 들어갈 때 완전히 어리둥절했다. 우리는 마치 행진하는 군인들을 통해 지나칠 정도로 뻔뻔스런 전직 군인 (지금은 Beefeater)에 의해“잠깐 기다린다”라는 말을 들었 기 때문이다. 나는 마치 우리가 어린 시절에 말하는 것처럼 관리자에게 불평했습니다. 그런 다음 페니가 떨어졌습니다.이 Beefeaters는 평생 직업을 얻었고 결코 사회적 기술을 얻지 못했습니다. 해고 될 수 없으며 사람들과 대화하는 방식에 반영됩니다. 그러나 상업 직원들은 해고 될 수 있기 때문에 어휘에 정중함을
영국, 런던 타워,비싼 외출,"이것은 우리의 필수 항목이었습니다. 런던에있는 동안 목록을 보았지만 우리가 예상했던 것처럼 그룹에 큰 타격을주지는 않았습니다. 여분의 '기부금'비용은 매표소에서 우리를 사로 잡았습니다. 이는 런던의 여러 명소에서 자동으로 포함시키지 않는 것이 일반적입니다. 우리는 주중, 비 성수기를 방문했지만 여전히 바빴습니다. 학교 그룹도 많습니다. 전시회 중 일부는 신선하고 매력적이지만 다른 전시회는 피곤합니다. 나는 몇 년 전에 방문하여 왕관 보석이 그 당시에 제시된 방식에서 훨씬 더 매력적이라는"
영국, 런던 타워,제한된 방문자로 할 수 있음,나는 내가 기억할 수있는 한이 여행을 계속하고 싶었지만 전체 경험이 스트레스를 받고 너무 바쁘다는 것을 알았습니다. . . 왕관 보석을보고 싶어했지만 라인은 말도 안되게 좋았고 결코 그것을 만들지 않았을 것입니다. . 릴이 속이는 느낌. 또한 계단을 내려가는 사람들의 수가 사고를 기다리는 사고입니다. 불행히도 이것이 잘 정리되지 않았다는 것에 실망했습니다.
영국, 런던 타워,멋지지만 비싸다,"나는이 획기적인 여행을 즐겼지만 꼭 그럴 필요는 없었습니다. 나는 역사보다 건축이 더 흥미로웠다는 것을 알았고, Crown Jewels 부분은 나의 시간 낭비였다. 나는 거기에서 약 1 시간 15 분을 보냈다. 나는 그것이 시간 / 돈 투자에 대한 좋은 수익이라고 생각하지 않았다"
영국, 런던 타워,더 지불 할 수 있도록 지불 대기,입장권은 인당 30 명 이상이며 그 돈으로 성 안으로 들어가서 왕관 보석을보기 위해 큰 줄을 타는 특권이 있습니다. 아기 나 임산부에게는 우선권이 없습니다. 내부에 3 개의 다른 명소 만 있습니다.
영국, 런던 타워,불쌍한 Beefeater 관광 안내,우리는이 중지를 위해 시간을 제한했다. 그러나 검토 때문에 우리는 여행을 위해 최소한 15 분을 기다렸다. 그리고 나는 우리가 우리 시간을 낭비하고 있었던 첫번째 중지를 hfter 깨달았다. 이 가이드는 사람들이 비디오를 찍는 것에 대해 더 많은 시간을 보냈습니다. 제 3의 고매 인에 의해 나는 나의 친구를 모았다. 그리고 여행은 결코 향상되지 않았기 때문에 우리는 우리 자신에 갔다. 운이 좋으면 즉시 가이드를 떠나고 더 많은 것을 직접 볼 수 있습니다.
